Id|TIPO_VIA|NOMBRE_VIA|PORTAL1|PORTAL2|CODPOSTAL|COD_INE_MUNICIPIO|LATITUD_WGS84_4326|LONGITUD_WGS84_4326|PROVINCIA|MUNICIPIO|POBLACION
|||||||38,373010|-0,485154|||
|||||||38,375398|-0,485921|||
|||||||38,374054|-0,481403|||
|||||||38,377024|-0,484764|||
|||||||38,376165|-0,478754|||
|||||||38,370620|-0,474616|||
|||||||38,382530|-0,466033|||
|||||||38,357210|-0,465260|||
|||||||38,359956|-0,455979|||
|||||||38,368242|-0,454663|||
|||||||38,369852|-0,445427|||
|||||||38,362241|-0,427889|||
|||||||38,381535|-0,415684|||
|||||||38,396317|-0,480485|||
|||||||38,381550|-0,491559|||
|||||||38,371394|-0,479497|||
|||||||38,356372|-0,417837|||
|||||||38,363124|-0,419407|||
|||||||38,366119|-0,413162|||
|||||||38,372236|-0,474757|||
|||||||38,368756|-0,418056|||
|||||||38,364182|-0,438963|||
|||||||38,360547|-0,413769|||
|||||||38,359989|-0,422226|||
|||||||38,358164|-0,424937|||
|||||||38,364765|-0,433035|||
|||||||38,374732|-0,415568|||
|||||||38,355481|-0,427664|||
|||||||38,370707|-0,413032|||
|||||||38,362450|-0,433319|||
|||||||38,365970|-0,428118|||
|||||||38,466389|-0,467624|||
|||||||38,367198|-0,422653|||
|||||||38,372771|-0,423321|||
|||||||38,377733|-0,433824|||
|||||||38,370549|-0,430304|||
|||||||38,381752|-0,426262|||
|||||||38,360475|-0,484460|||
|||||||38,359973|-0,487575|||
|||||||38,363934|-0,487726|||
|||||||38,366907|-0,486827|||
|||||||38,365476|-0,494886|||
|||||||38,368097|-0,490139|||
|||||||38,369150|-0,494606|||
|||||||38,371752|-0,490900|||
|||||||38,374787|-0,495047|||
|||||||38,373756|-0,492476|||
